Año;Trimestre;Provincia;ADSL;Cablemodem;Fibra óptica;Wireless;Otros;TConexiones;Nuevo_Acceso
2019;4;Córdoba;297;410;53;38;9;807;823,14
2019;4;Corrientes;53;52;2;2;5;114;116,28
2019;4;Entre Ríos;93;99;13;19;15;239;243,78
2019;4;Formosa;22;9;2;15;169;217;221,34
2019;4;Jujuy;33;38;873;814;17;1775;1810,5
2019;4;La Pampa;15;57;5;11;2;90;91,8
2019;4;La Rioja;14;35;0;251;29;329;335,58
2019;4;Mendoza;97;50;25;14;730;916;934,32
2019;4;Misiones;53;70;847;441;12;1423;1451,46
2019;4;Neuquén;30;61;11;14;854;970;989,4
2019;4;Río Negro;50;38;10;11;18;127;129,54
2019;4;Salta;63;76;22;3;8;172;175,44
2019;4;San Juan;41;6;5;7;5;64;65,28
2019;4;San Luis;9;8;6;55;36;114;116,28
2019;4;Santa Cruz;13;16;1;7;2;39;39,78
2019;4;Santa Fe;312;382;27;27;20;768;783,36
2019;4;Santiago Del Estero;25;71;200;3;5;304;310,08
2019;4;Tierra Del Fuego;13;27;0;0;310;350;357
2019;4;Tucumán;147;11;40;725;348;1271;1296,42
2019;3;Buenos Aires;1;2;425;86;27;541;551,82
2019;3;Capital Federal;300;1;25;4;31;361;368,22
2019;3;Catamarca;24;6;13;244;2;289;294,78
2019;3;Chaco;50;49;8;5;2;114;116,28
2019;3;Chubut;37;27;2;15;8;89;90,78
2019;3;Córdoba;308;399;30;37;9;783;798,66
2019;3;Corrientes;53;50;2;2;5;112;114,24
2019;3;Entre Ríos;95;96;13;19;15;238;242,76
2019;3;Formosa;22;8;1;14;162;207;211,14
2019;3;Jujuy;33;36;274;812;17;1172;1195,44
2019;3;La Pampa;19;53;5;11;2;90;91,8
2019;3;La Rioja;14;35;11;251;41;352;359,04
2019;3;Mendoza;149;54;7;13;2;225;229,5
2019;3;Misiones;54;66;829;419;12;1380;1407,6
2019;3;Neuquén;43;60;6;14;3;126;128,52
2019;3;Río Negro;67;37;10;11;19;144;146,88
2019;3;Salta;66;74;733;2;9;884;901,68
2019;3;San Juan;52;7;1;7;6;73;74,46
2019;3;San Luis;13;11;350;62;36;472;481,44
2019;3;Santa Cruz;11;17;969;7;3;1007;1027,14
2019;3;Santa Fe;319;377;19;24;21;760;775,2
2019;3;Santiago Del Estero;25;71;219;3;34;352;359,04
2019;3;Tierra Del Fuego;20;27;651;0;1;699;712,98
2019;3;Tucumán;151;12;116;684;324;1287;1312,74
2019;2;Buenos Aires;1;2;383;75;33;494;503,88
2019;2;Capital Federal;310;1;36;4;4;355;362,1
2019;2;Catamarca;26;6;13;146;2;193;196,86
2019;2;Chaco;51;47;4;5;2;109;111,18
2019;2;Chubut;37;26;2;14;8;87;88,74
2019;2;Córdoba;315;388;23;34;15;775;790,5
2019;2;Corrientes;54;47;2;2;6;111;113,22
2019;2;Entre Ríos;97;91;13;17;18;236;240,72
2019;2;Formosa;22;9;1;14;162;208;212,16
2019;2;Jujuy;33;31;274;812;22;1172;1195,44
2019;2;La Pampa;19;52;5;11;3;90;91,8
2019;2;La Rioja;15;35;11;251;41;353;360,06
2019;2;Mendoza;149;54;7;13;2;225;229,5
2019;2;Misiones;55;64;543;421;12;1095;1116,9
2019;2;Neuquén;43;59;5;13;3;123;125,46
2019;2;Río Negro;68;37;4;10;20;139;141,78
2019;2;Salta;69;62;725;1;9;866;883,32
2019;2;San Juan;52;7;1;3;7;70;71,4
2019;2;San Luis;11;10;347;57;38;463;472,26
2019;2;Santa Cruz;11;10;379;7;3;410;418,2
2019;2;Santa Fe;325;355;18;22;23;743;757,86
2019;2;Santiago Del Estero;24;65;219;3;35;346;352,92
2019;2;Tierra Del Fuego;20;26;651;0;1;698;711,96
2019;2;Tucumán;153;12;116;684;321;1286;1311,72
2019;1;Buenos Aires;1;2;336;65;20;424;432,48
2019;1;Capital Federal;328;1;32;4;4;369;376,38
2019;1;Catamarca;27;4;16;0;2;49;49,98
2019;1;Chaco;53;44;2;4;1;104;106,08
2019;1;Chubut;37;23;2;14;3;79;80,58
2019;1;Córdoba;323;364;20;25;12;744;758,88
2019;1;Corrientes;56;43;2;2;58;161;164,22
2019;1;Entre Ríos;101;90;13;16;12;232;236,64
2019;1;Formosa;23;8;940;14;62;1047;1067,94
2019;1;Jujuy;33;12;153;640;44;882;899,64
2019;1;La Pampa;19;57;3;9;1;89;90,78
2019;1;La Rioja;16;35;12;252;41;356;363,12
2019;1;Mendoza;149;40;6;10;2;207;211,14
2019;1;Misiones;55;59;465;426;8;1013;1033,26
2019;1;Neuquén;41;56;3;13;2;115;117,3
2019;1;Río Negro;68;34;4;10;5;121;123,42
2019;1;Salta;74;58;647;1;2;782;797,64
2019;1;San Juan;52;6;808;3;1;870;887,4
2019;1;San Luis;11;8;378;53;24;474;483,48
2019;1;Santa Cruz;11;5;382;7;3;408;416,16
2019;1;Santa Fe;340;340;16;23;18;737;751,74
2019;1;Santiago Del Estero;25;62;23;3;99;212;216,24
2019;1;Tierra Del Fuego;20;24;2;0;1;47;47,94
2019;1;Tucumán;159;12;118;678;321;1288;1313,76
2018;4;Buenos Aires;1;2;296;65;20;384;391,68
2018;4;Capital Federal;328;1;33;4;4;370;377,4
2018;4;Catamarca;27;4;16;0;2;49;49,98
2018;4;Chaco;53;44;2;3;1;103;105,06
2018;4;Chubut;37;23;952;14;3;1029;1049,58
2018;4;Córdoba;329;356;18;22;13;738;752,76
2018;4;Corrientes;56;42;796;2;30;926;944,52
2018;4;Entre Ríos;101;86;5;15;14;221;225,42
2018;4;Formosa;23;8;887;14;57;989;1008,78
2018;4;Jujuy;33;12;153;640;44;882;899,64
2018;4;La Pampa;19;55;3;8;1;86;87,72
2018;4;La Rioja;16;35;12;252;36;351;358,02
2018;4;Mendoza;149;40;6;10;2;207;211,14
2018;4;Misiones;56;54;465;426;6;1007;1027,14
