Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,TConexiones
2019,4,Santiago Del Estero,25,71,200,3,5,304
2019,4,Tierra Del Fuego,13,27,0,0,310,350
2019,4,Tucumán,147,11,40,725,348,1271
2019,3,Buenos Aires,1,2,425,86,27,541
2019,3,Capital Federal,300,1,25,4,31,361
2019,3,Catamarca,24,6,13,244,2,289
2019,3,Chaco,50,49,8,5,2,114
2019,3,Chubut,37,27,2,15,8,89
2019,3,Córdoba,308,399,30,37,9,783
2019,3,Corrientes,53,50,2,2,5,112
2019,3,Entre Ríos,95,96,13,19,15,238
2019,3,Formosa,22,8,1,14,162,207
2019,3,Jujuy,33,36,274,812,17,1172
2019,3,La Pampa,19,53,5,11,2,90
2019,3,La Rioja,14,35,11,251,41,352
2019,3,Mendoza,149,54,7,13,2,225
2019,3,Misiones,54,66,829,419,12,1380
2019,3,Neuquén,43,60,6,14,3,126
2019,3,Río Negro,67,37,10,11,19,144
2019,3,Salta,66,74,733,2,9,884
2019,3,San Juan,52,7,1,7,6,73
2019,3,San Luis,13,11,350,62,36,472
2019,3,Santa Cruz,11,17,969,7,3,1007
2019,3,Santa Fe,319,377,19,24,21,760
2019,3,Santiago Del Estero,25,71,219,3,34,352
2019,3,Tierra Del Fuego,20,27,651,0,1,699
2019,3,Tucumán,151,12,116,684,324,1287
2019,2,Buenos Aires,1,2,383,75,33,494
2019,2,Capital Federal,310,1,36,4,4,355
2019,2,Catamarca,26,6,13,146,2,193
2019,2,Chaco,51,47,4,5,2,109
2019,2,Chubut,37,26,2,14,8,87
2019,2,Córdoba,315,388,23,34,15,775
2019,2,Corrientes,54,47,2,2,6,111
2019,2,Entre Ríos,97,91,13,17,18,236
2019,2,Formosa,22,9,1,14,162,208
2019,2,Jujuy,33,31,274,812,22,1172
2019,2,La Pampa,19,52,5,11,3,90
2019,2,La Rioja,15,35,11,251,41,353
2019,2,Mendoza,149,54,7,13,2,225
2019,2,Misiones,55,64,543,421,12,1095
2019,2,Neuquén,43,59,5,13,3,123
2019,2,Río Negro,68,37,4,10,20,139
2019,2,Salta,69,62,725,1,9,866
2019,2,San Juan,52,7,1,3,7,70
2019,2,San Luis,11,10,347,57,38,463
2019,2,Santa Cruz,11,10,379,7,3,410
2019,2,Santa Fe,325,355,18,22,23,743
2019,2,Santiago Del Estero,24,65,219,3,35,346
2019,2,Tierra Del Fuego,20,26,651,0,1,698
2019,2,Tucumán,153,12,116,684,321,1286
2019,1,Buenos Aires,1,2,336,65,20,424
2019,1,Capital Federal,328,1,32,4,4,369
2019,1,Catamarca,27,4,16,0,2,49
2019,1,Chaco,53,44,2,4,1,104
2019,1,Chubut,37,23,2,14,3,79
2019,1,Córdoba,323,364,20,25,12,744
2019,1,Corrientes,56,43,2,2,58,161
2019,1,Entre Ríos,101,90,13,16,12,232
2019,1,Formosa,23,8,940,14,62,1047
2019,1,Jujuy,33,12,153,640,44,882
